,date,clicks
0,20200101,19800
1,20200102,22659
2,20200103,22606
3,20200104,20735
4,20200105,21988
5,20200106,31706
6,20200107,26389
7,20200108,26258
8,20200109,23870
9,20200110,23224
10,20200111,19205
11,20200112,19728
12,20200113,28800
13,20200114,23863
14,20200115,23029
15,20200116,20720
16,20200117,18512
17,20200118,15364
18,20200119,16415
19,20200120,25877
20,20200121,22233
21,20200122,20864
22,20200123,19566
23,20200124,17696
24,20200125,14968
25,20200126,16277
26,20200127,23291
27,20200128,20837
28,20200129,20514
29,20200130,19699
30,20200131,17781
31,20200201,15200
32,20200202,16866
33,20200203,23851
34,20200204,20683
35,20200205,19326
36,20200206,18406
37,20200207,17286
38,20200208,14680
39,20200209,15587
40,20200210,23396
41,20200211,20448
42,20200212,19178
43,20200213,17693
44,20200214,16449
45,20200215,14055
46,20200216,16751
47,20200217,24295
48,20200218,21158
49,20200219,19784
50,20200220,18114
51,20200221,16957
52,20200222,15248
53,20200223,15196
54,20200224,21595
55,20200225,20273
56,20200226,18931
57,20200227,17369
58,20200228,15400
59,20200301,13730
60,20200302,14992
61,20200303,22324
62,20200304,20580
63,20200305,19800
64,20200306,18433
65,20200307,16063
66,20200308,13560
67,20200309,15274
68,20200310,20726
69,20200311,18410
70,20200312,18546
71,20200313,16908
72,20200314,14905
73,20200315,13234
74,20200316,13699
75,20200317,22464
76,20200318,19363
77,20200319,18017
78,20200320,16573
79,20200321,15216
80,20200322,13750
81,20200323,13552
82,20200324,20961
83,20200325,18360
84,20200326,18454
85,20200327,16699
86,20200328,15750
87,20200329,13062
88,20200330,13348
89,20200331,18964
90,20200401,16778
91,20200402,16764
92,20200403,15596
93,20200404,13868
94,20200405,11825
95,20200406,12244
96,20200407,19185
97,20200408,16440
98,20200409,15788
99,20200410,15204
100,20200411,13701
101,20200412,11532
102,20200413,10890
103,20200414,15292
104,20200415,13211
105,20200416,12032
106,20200417,10752
107,20200418,11313
108,20200419,11891
109,20200420,10230
110,20200421,16376
111,20200422,18202
112,20200423,14645
113,20200424,14791
114,20200425,13905
115,20200426,12137
116,20200427,12455
117,20200428,16421
118,20200429,13843
119,20200430,13170
120,20200501,19546
121,20200502,14934
122,20200503,14121
123,20200504,14567
124,20200505,20530
125,20200506,17333
126,20200507,16839
127,20200508,16983
128,20200509,16617
129,20200510,14343
130,20200511,13658
131,20200512,19785
132,20200513,15712
133,20200514,14806
134,20200515,13150
135,20200516,9588
136,20200517,7902
137,20200518,14349
138,20200519,20898
139,20200520,18887
140,20200521,17653
141,20200522,18139
142,20200523,16659
143,20200524,15249
144,20200525,14673
145,20200526,23955
146,20200527,20798
147,20200528,19945
148,20200529,17780
149,20200530,25822
150,20200531,16078
151,20200601,17013
152,20200602,25957
153,20200603,22342
154,20200604,20522
155,20200605,19581
156,20200606,16736
157,20200607,15581
158,20200608,17097
159,20200609,23345
160,20200610,25856
161,20200611,20621
162,20200612,22268
163,20200613,18909
164,20200614,15572
165,20200615,13704
166,20200616,26130
167,20200617,22745
168,20200618,21597
169,20200619,18958
170,20200620,20138
171,20200621,18776
172,20200622,18150
173,20200623,25539
174,20200624,26814
175,20200625,28329
176,20200626,25883
177,20200627,23618
178,20200628,20399
179,20200629,22603
180,20200630,35972
181,20200701,35062
182,20200702,34501
183,20200703,34910
184,20200704,32735
185,20200705,27199
186,20200706,29927
187,20200707,39602
188,20200708,36595
189,20200709,33440
190,20200710,30712
191,20200711,28779
192,20200712,27075
193,20200713,26080
194,20200714,38427
195,20200715,38079
196,20200716,32291
197,20200717,30775
198,20200718,32171
199,20200719,29638
200,20200720,28289
201,20200721,37711
202,20200722,31842
203,20200723,27586
204,20200724,24881
205,20200725,22501
206,20200726,18967
207,20200727,18005
208,20200728,23051
209,20200729,24737
210,20200730,26060
211,20200731,25964
212,20200801,22234
213,20200802,19445
214,20200803,17295
215,20200804,23848
216,20200805,24165
217,20200806,24463
218,20200807,22355
219,20200808,20833
220,20200809,16569
221,20200810,18133
222,20200811,22683
223,20200812,20862
224,20200813,19610
225,20200814,18516
226,20200815,17302
227,20200816,15683
228,20200817,15493
229,20200818,19682
230,20200819,19051
231,20200820,19760
232,20200821,18293
233,20200822,17943
234,20200823,14973
235,20200824,12951
236,20200825,18085
237,20200826,17421
238,20200827,16439
239,20200828,16586
240,20200829,15859
241,20200830,14703
